Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.303341715506492,5.303341715506492
House=Price Growth %,3.6224088537154215,3.6224088537154215
%=CQC Good,2.1335047554894473,2.1335047554894473
%=CQC Inadequate,0.9132428080785271,0.9132428080785271
Percent=65plus,0.6906051254455409,0.6906051254455409
%=CQC Outstanding,0.2199185161386547,-0.2199185161386547
GDHI=per head 2022,0.11127053173910444,0.11127053173910444
Care=Homes per 10k,0.0581796906265969,-0.0581796906265969
Total=Population,0.013519107056176897,0.013519107056176897
%=CQC NotRated,0.0,0.0
