Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.810447219174043,-5.810447219174043
House=Price Growth %,2.6611147190061684,2.6611147190061684
%=CQC Inadequate,0.4773028753800304,0.4773028753800304
Percent=65plus,0.3895303946144382,0.3895303946144382
%=CQC Outstanding,0.3625216079788667,-0.3625216079788667
GDHI=per head 2022,0.22437835729182548,0.22437835729182548
%=CQC Good,0.13484772099903342,-0.13484772099903342
Care=Homes per 10k,0.12989871484464824,0.12989871484464824
Total=Population,0.09541382271966839,-0.09541382271966839
%=CQC NotRated,0.0,0.0
