Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.294546873085889,-4.294546873085889
House=Price Growth %,3.4521934253401545,-3.4521934253401545
Percent=65plus,0.43212709883168565,-0.43212709883168565
%=CQC Good,0.3136144202754931,-0.3136144202754931
%=CQC Inadequate,0.2352135715645216,0.2352135715645216
GDHI=per head 2022,0.1993995685884084,-0.1993995685884084
Care=Homes per 10k,0.0515065299987939,0.0515065299987939
Total=Population,0.0459438531012219,-0.0459438531012219
%=CQC Outstanding,0.028699827925037696,0.028699827925037696
%=CQC NotRated,0.0,0.0
