Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.458901818873005,-4.458901818873005
House=Price Growth %,2.7222112836734342,2.7222112836734342
Percent=65plus,0.8256981388913062,-0.8256981388913062
%=CQC Inadequate,0.6222236701621473,0.6222236701621473
%=CQC Good,0.33297355643020465,-0.33297355643020465
Care=Homes per 10k,0.23538257654955383,-0.23538257654955383
%=CQC Outstanding,0.1890601617203061,0.1890601617203061
Total=Population,0.1625741282243482,-0.1625741282243482
GDHI=per head 2022,0.04612979367803025,0.04612979367803025
%=CQC NotRated,0.0,0.0
