Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.8221928896836124,3.8221928896836124
Percent=65plus,0.8777398926224733,0.8777398926224733
House=Price Growth %,0.7849507261287733,-0.7849507261287733
%=CQC Good,0.7635346648647738,-0.7635346648647738
GDHI=per head 2022,0.34577264631388377,0.34577264631388377
Total=Population,0.2854576695274616,0.2854576695274616
Care=Homes per 10k,0.25335269893807016,0.25335269893807016
%=CQC Inadequate,0.17516070731433608,-0.17516070731433608
%=CQC Outstanding,0.10402499148787474,0.10402499148787474
%=CQC NotRated,0.0,0.0
