Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.272337834179514,4.272337834179514
%=CQC RequiresImprovement,2.436628287389482,-2.436628287389482
Percent=65plus,0.5284976379729664,0.5284976379729664
%=CQC Good,0.2741226759539753,-0.2741226759539753
%=CQC Inadequate,0.20676844291319454,-0.20676844291319454
%=CQC Outstanding,0.09299780104598851,-0.09299780104598851
Total=Population,0.07301629372702317,-0.07301629372702317
Care=Homes per 10k,0.05332894869533278,0.05332894869533278
GDHI=per head 2022,0.01796377044736002,0.01796377044736002
%=CQC NotRated,0.0,0.0
