Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.95763863543994,-4.95763863543994
%=CQC RequiresImprovement,0.5232877619550418,-0.5232877619550418
Percent=65plus,0.5079718839336719,-0.5079718839336719
%=CQC Good,0.4495337802423924,-0.4495337802423924
%=CQC Outstanding,0.22987354067648505,-0.22987354067648505
%=CQC Inadequate,0.1840611325909579,-0.1840611325909579
Total=Population,0.17240122356620502,-0.17240122356620502
GDHI=per head 2022,0.15440961497912864,-0.15440961497912864
Care=Homes per 10k,0.05372773635070482,-0.05372773635070482
%=CQC NotRated,0.0,0.0
