Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,16.169406398455802,-16.169406398455802
%=CQC RequiresImprovement,9.91076538745913,-9.91076538745913
Percent=65plus,2.1977380283980223,-2.1977380283980223
%=CQC Good,1.8262278383313426,-1.8262278383313426
Total=Population,0.53270532752646,-0.53270532752646
Care=Homes per 10k,0.4755916962704646,-0.4755916962704646
%=CQC Inadequate,0.1149645974981172,-0.1149645974981172
%=CQC Outstanding,0.11289592745827055,-0.11289592745827055
GDHI=per head 2022,0.013410108336936958,-0.013410108336936958
%=CQC NotRated,0.0,0.0
