Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.5060660300644955,4.5060660300644955
%=CQC RequiresImprovement,3.333828745788098,3.333828745788098
Percent=65plus,0.7038206941958802,0.7038206941958802
%=CQC Good,0.6773473175063535,-0.6773473175063535
%=CQC Inadequate,0.17458625376051032,-0.17458625376051032
%=CQC Outstanding,0.13207958715276358,-0.13207958715276358
Total=Population,0.10488397304433722,0.10488397304433722
GDHI=per head 2022,0.06598007595310254,0.06598007595310254
Care=Homes per 10k,0.056228329639212746,0.056228329639212746
%=CQC NotRated,0.0,0.0
