Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.666584836242002,7.666584836242002
Percent=65plus,0.8615713501123342,0.8615713501123342
%=CQC Good,0.6964345089902934,0.6964345089902934
%=CQC Outstanding,0.33986251210620866,0.33986251210620866
House=Price Growth %,0.22272316525986832,0.22272316525986832
%=CQC Inadequate,0.17935035672756372,-0.17935035672756372
Total=Population,0.15478735429147467,0.15478735429147467
Care=Homes per 10k,0.03634501980763978,0.03634501980763978
GDHI=per head 2022,0.02916369981673388,-0.02916369981673388
%=CQC NotRated,0.0,0.0
