Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.316773787343918,-4.316773787343918
House=Price Growth %,0.4302166241411173,0.4302166241411173
%=CQC Outstanding,0.42716989669439975,-0.42716989669439975
Percent=65plus,0.3868995526534072,0.3868995526534072
%=CQC Inadequate,0.28646762059345743,-0.28646762059345743
GDHI=per head 2022,0.23551475167352393,-0.23551475167352393
%=CQC Good,0.16377832290169508,-0.16377832290169508
Care=Homes per 10k,0.08747035440368468,0.08747035440368468
Total=Population,0.08178746172572766,-0.08178746172572766
%=CQC NotRated,0.0,0.0
