Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.37906551201887,4.37906551201887
House=Price Growth %,1.0646913671914457,-1.0646913671914457
%=CQC Good,0.6373371856145602,-0.6373371856145602
GDHI=per head 2022,0.37210392770419454,0.37210392770419454
Total=Population,0.22857465774277178,0.22857465774277178
%=CQC Outstanding,0.2085531946531743,0.2085531946531743
Percent=65plus,0.09592515699357566,0.09592515699357566
%=CQC Inadequate,0.09084088357661939,0.09084088357661939
Care=Homes per 10k,0.09035991038230574,0.09035991038230574
%=CQC NotRated,0.0,0.0
