Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.652788486970164,-2.652788486970164
House=Price Growth %,1.3772293275127663,1.3772293275127663
%=CQC Outstanding,0.5425623789925499,-0.5425623789925499
Percent=65plus,0.5383641251789911,0.5383641251789911
%=CQC Inadequate,0.21088158733858559,-0.21088158733858559
Care=Homes per 10k,0.15668033065714077,0.15668033065714077
%=CQC Good,0.07963504074771859,-0.07963504074771859
GDHI=per head 2022,0.0725889158657739,-0.0725889158657739
Total=Population,0.008622683168609015,-0.008622683168609015
%=CQC NotRated,0.0,0.0
