Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.043838849442897,4.043838849442897
House=Price Growth %,0.47000152390534045,0.47000152390534045
%=CQC Outstanding,0.452643486244098,-0.452643486244098
%=CQC Good,0.3619781342732378,0.3619781342732378
GDHI=per head 2022,0.3278597960482527,-0.3278597960482527
Percent=65plus,0.31020835899386334,0.31020835899386334
Total=Population,0.21697564649533285,-0.21697564649533285
%=CQC Inadequate,0.19390801679796624,-0.19390801679796624
Care=Homes per 10k,0.05855476923581332,0.05855476923581332
%=CQC NotRated,0.0,0.0
