Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.687456835342374,8.687456835342374
House=Price Growth %,3.84410298665736,3.84410298665736
%=CQC Good,1.8503800987596286,1.8503800987596286
Percent=65plus,0.779676086793002,0.779676086793002
GDHI=per head 2022,0.19021581456618755,0.19021581456618755
Care=Homes per 10k,0.17912245771953098,0.17912245771953098
Total=Population,0.10494631576568403,0.10494631576568403
%=CQC Outstanding,0.09026997204843032,0.09026997204843032
%=CQC Inadequate,0.025424122613343016,0.025424122613343016
%=CQC NotRated,0.0,0.0
