Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,5.976580829298336,-5.976580829298336
%=CQC RequiresImprovement,1.961214810068935,-1.961214810068935
Total=Population,0.3335936127144423,-0.3335936127144423
Percent=65plus,0.10750211862213525,-0.10750211862213525
Care=Homes per 10k,0.07800466590789384,0.07800466590789384
GDHI=per head 2022,0.06960798977185689,-0.06960798977185689
%=CQC Inadequate,0.038757446627149625,0.038757446627149625
%=CQC Outstanding,0.021644387785166655,-0.021644387785166655
%=CQC Good,0.015723674008709335,-0.015723674008709335
%=CQC NotRated,0.0,0.0
