Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.3470943085446416,-2.3470943085446416
%=CQC Inadequate,0.5953717463880285,0.5953717463880285
Percent=65plus,0.5554076191489916,0.5554076191489916
House=Price Growth %,0.24553932433878906,-0.24553932433878906
%=CQC Outstanding,0.24227673658073937,0.24227673658073937
GDHI=per head 2022,0.14073000782465162,-0.14073000782465162
Total=Population,0.05708568630479678,-0.05708568630479678
%=CQC Good,0.05452734725222181,0.05452734725222181
Care=Homes per 10k,0.017660567908383,0.017660567908383
%=CQC NotRated,0.0,0.0
