Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.9616109266053465,2.9616109266053465
House=Price Growth %,1.4991407700931565,-1.4991407700931565
%=CQC Good,1.413918274627107,-1.413918274627107
Percent=65plus,0.30250158774678965,0.30250158774678965
Total=Population,0.2173234084359707,0.2173234084359707
%=CQC Inadequate,0.19078564484160895,-0.19078564484160895
%=CQC Outstanding,0.14923704641631816,0.14923704641631816
Care=Homes per 10k,0.11110766202823699,0.11110766202823699
GDHI=per head 2022,0.1045412514052885,-0.1045412514052885
%=CQC NotRated,0.0,0.0
