Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.437430517960953,8.437430517960953
House=Price Growth %,3.6870792212149026,-3.6870792212149026
%=CQC Good,3.0329177826436067,3.0329177826436067
Percent=65plus,0.529389412239814,-0.529389412239814
%=CQC Outstanding,0.40583554515490516,-0.40583554515490516
%=CQC Inadequate,0.18894450519289657,0.18894450519289657
Care=Homes per 10k,0.16780399837343454,-0.16780399837343454
Total=Population,0.12960766386151543,-0.12960766386151543
GDHI=per head 2022,0.12308227468740264,-0.12308227468740264
%=CQC NotRated,0.0,0.0
