Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.356939769671978,3.356939769671978
%=CQC Good,1.3310719923702243,-1.3310719923702243
House=Price Growth %,0.8381324334827552,-0.8381324334827552
GDHI=per head 2022,0.2553729315240384,-0.2553729315240384
%=CQC Inadequate,0.1930784684384568,-0.1930784684384568
%=CQC Outstanding,0.17155092062591612,0.17155092062591612
Percent=65plus,0.03524605912705995,-0.03524605912705995
Care=Homes per 10k,0.01509986033541353,0.01509986033541353
Total=Population,0.007906024574719043,0.007906024574719043
%=CQC NotRated,0.0,0.0
