Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.314458949059276,-4.314458949059276
%=CQC Good,0.8668621137519071,-0.8668621137519071
%=CQC Inadequate,0.28273245140581593,-0.28273245140581593
Percent=65plus,0.2566818101360237,0.2566818101360237
Care=Homes per 10k,0.21367450421873957,0.21367450421873957
GDHI=per head 2022,0.152552517482671,-0.152552517482671
Total=Population,0.14630386485177183,0.14630386485177183
House=Price Growth %,0.11279389332695507,-0.11279389332695507
%=CQC Outstanding,0.06563443608556785,0.06563443608556785
%=CQC NotRated,0.0,0.0
