Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.088904389568497,-5.088904389568497
House=Price Growth %,4.899222536609818,-4.899222536609818
Percent=65plus,1.824649859176758,-1.824649859176758
%=CQC Good,1.6817625223362132,-1.6817625223362132
Care=Homes per 10k,0.3829802286160514,-0.3829802286160514
Total=Population,0.17572436335512376,-0.17572436335512376
%=CQC Outstanding,0.1629629826330741,0.1629629826330741
%=CQC Inadequate,0.1477084329425774,-0.1477084329425774
GDHI=per head 2022,0.06478404023743645,0.06478404023743645
%=CQC NotRated,0.0,0.0
