Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.104993650867173,4.104993650867173
%=CQC RequiresImprovement,3.151708761519294,3.151708761519294
%=CQC Good,1.56285941283799,-1.56285941283799
GDHI=per head 2022,0.2739088053778757,-0.2739088053778757
%=CQC Inadequate,0.19735396200483196,-0.19735396200483196
%=CQC Outstanding,0.15405725337912715,0.15405725337912715
Total=Population,0.12986105659744449,0.12986105659744449
Percent=65plus,0.09747356725440447,-0.09747356725440447
Care=Homes per 10k,0.048930284622431174,-0.048930284622431174
%=CQC NotRated,0.0,0.0
