Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.321998651839177,4.321998651839177
House=Price Growth %,4.238896020632823,-4.238896020632823
%=CQC Good,1.1318096087617107,-1.1318096087617107
Percent=65plus,0.5549950436081414,-0.5549950436081414
Care=Homes per 10k,0.2638250992909805,-0.2638250992909805
Total=Population,0.19579807250321854,-0.19579807250321854
%=CQC Inadequate,0.18204933972847598,-0.18204933972847598
%=CQC Outstanding,0.1753823836589373,0.1753823836589373
GDHI=per head 2022,0.04021316070727712,-0.04021316070727712
%=CQC NotRated,0.0,0.0
