Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.1242933664810386,3.1242933664810386
House=Price Growth %,1.4504014118221138,-1.4504014118221138
%=CQC Good,1.1446093476826502,-1.1446093476826502
Percent=65plus,0.7576523967829389,-0.7576523967829389
GDHI=per head 2022,0.36501006009814285,-0.36501006009814285
Total=Population,0.21399307746468,-0.21399307746468
%=CQC Inadequate,0.18841346487987012,-0.18841346487987012
%=CQC Outstanding,0.07388746944337897,0.07388746944337897
Care=Homes per 10k,0.048506386928538904,-0.048506386928538904
%=CQC NotRated,0.0,0.0
