Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.861957904635009,4.861957904635009
House=Price Growth %,2.924232485483136,2.924232485483136
Percent=65plus,1.3321904406809135,-1.3321904406809135
Total=Population,0.21072734497301515,-0.21072734497301515
%=CQC Outstanding,0.2051930198427693,-0.2051930198427693
Care=Homes per 10k,0.19559218745748658,-0.19559218745748658
%=CQC Good,0.194039117328009,-0.194039117328009
%=CQC Inadequate,0.16269033879289607,-0.16269033879289607
GDHI=per head 2022,0.13273674922243842,0.13273674922243842
%=CQC NotRated,0.0,0.0
