Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.391027541550686,-5.391027541550686
House=Price Growth %,3.737858882262803,3.737858882262803
%=CQC Good,1.3851809502719277,-1.3851809502719277
Percent=65plus,1.2790331626694276,-1.2790331626694276
%=CQC Inadequate,0.24186485269513178,-0.24186485269513178
Total=Population,0.21169443929295922,-0.21169443929295922
%=CQC Outstanding,0.20685035474571023,0.20685035474571023
GDHI=per head 2022,0.09354591817516235,0.09354591817516235
Care=Homes per 10k,0.05824048156196041,0.05824048156196041
%=CQC NotRated,0.0,0.0
