Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.198627407169223,-4.198627407169223
%=CQC RequiresImprovement,3.767776551550662,3.767776551550662
%=CQC Good,0.8185330897233994,-0.8185330897233994
Care=Homes per 10k,0.27231982122650716,0.27231982122650716
GDHI=per head 2022,0.23604796256757077,0.23604796256757077
%=CQC Inadequate,0.17758245949512652,-0.17758245949512652
%=CQC Outstanding,0.14575252963362215,-0.14575252963362215
Total=Population,0.1445596266661564,-0.1445596266661564
Percent=65plus,0.01999453239166401,-0.01999453239166401
%=CQC NotRated,0.0,0.0
