LAD_code,Local_Authority,Total_Population,Percent_65plus,Care_Homes_Count,Care_Homes_per_10k,%_CQC_Outstanding,%_CQC_Good,%_CQC_RequiresImprovement,%_CQC_Inadequate,%_CQC_NotRated,GDHI_per_head_2022,House_Price_Growth_%,Investment_Potential_Score,High_Investment_Potential,Investment_Grade
E06000001,Hartlepool,95366.0,20.04,27.0,2.8311977014869028,0.0,92.59,7.41,0.0,0,17992,14.35,-4.575020344776966,0,Avoid
E06000002,Middlesbrough,152650.0,16.62,50.0,3.2754667540124465,4.0,80.0,12.0,4.0,0,16670,-12.69,-7.785679986898132,0,Avoid
E06000003,Redcar and Cleveland,137938.0,23.83,46.0,3.334831591004654,0.0,89.13,10.87,0.0,0,17686,14.38,-1.8583752613493016,0,Avoid
E06000004,Stockton-on-Tees,202415.0,19.42,64.0,3.1618210112886893,4.69,87.5,7.81,0.0,0,18608,-1.47,-8.529026848306696,0,Avoid
E06000005,Darlington,110562.0,21.0,33.0,2.9847506376512727,6.06,72.73,15.15,6.06,0,19056,-13.21,-3.778387404352309,0,Avoid
E06000006,Halton,129587.0,19.16,28.0,2.1607105651029808,0.0,60.71,32.14,7.14,0,19124,47.25,20.151206584765447,1,Good
E06000007,Warrington,212389.0,19.66,56.0,2.6366713907029085,3.57,80.36,14.29,1.79,0,22152,26.8,3.407300708605433,0,Consider
E06000008,Blackburn with Darwen,157503.0,14.54,38.0,2.4126524574135098,0.0,71.05,26.32,2.63,0,15884,-23.93,-4.865002131387974,0,Avoid
E06000009,Blackpool,142708.0,20.64,70.0,4.905120946267903,8.7,68.12,23.19,0.0,0,17413,7.37,1.5942181419401855,0,Consider
E06000010,"Kingston upon Hull, City of",271942.0,15.56,78.0,2.8682586728052306,0.0,71.79,28.21,0.0,0,15818,-3.6,-0.1030611990792156,0,Avoid
E06000011,East Riding of Yorkshire,350119.0,26.85,143.0,4.084325615005184,7.69,64.34,26.57,1.4,0,21547,10.57,7.017698842250779,0,Consider
E06000012,North East Lincolnshire,158335.0,21.43,55.0,3.4736476458142547,9.09,78.18,12.73,0.0,0,18139,6.54,-3.7636028531278622,0,Avoid
E06000013,North Lincolnshire,170087.0,22.68,63.0,3.703986783234462,9.52,66.67,23.81,0.0,0,18195,8.25,2.541348017485168,0,Consider
E06000014,York,206780.0,19.28,41.0,1.9827836347809265,5.0,72.5,22.5,0.0,0,21981,44.73,10.647067545217135,0,Good
E06000016,Leicester,379780.0,11.97,112.0,2.949075780715151,0.89,75.0,24.11,0.0,0,15075,5.46,-0.9188886328927276,0,Avoid
E06000017,Rutland,40643.0,26.32,12.0,2.9525379524149296,0.0,75.0,25.0,0.0,0,28090,21.9,9.21138069286224,0,Good
E06000021,Stoke-on-Trent,263157.0,17.3,83.0,3.1540107236364605,2.41,72.29,25.3,0.0,0,15900,3.84,0.6971016085454682,0,Consider
E06000022,Bath and North East Somerset,199818.0,19.24,53.0,2.6524136964637823,0.0,81.13,18.87,0.0,0,24779,22.57,4.003212054469568,0,Consider
E06000023,"Bristol, City of",482998.0,12.77,94.0,1.946177830964104,4.26,92.55,3.19,0.0,0,22465,3.34,-10.886823325355383,0,Avoid
E06000024,North Somerset,221146.0,24.15,117.0,5.29062248469337,0.0,83.48,14.78,1.74,0,24330,9.7,1.3395933727040037,0,Consider
