District,ROI (%),ROI_Group,2020,2021,2022,2023,2024
ADUR,31.53,Top ROI,428079.67,450746.26,512341.24,508678.3,563059.6
ALLERDALE,-1.15,Low ROI,245759.61,273780.17,288084.04,242937.22,
AMBER VALLEY,16.58,Mid ROI,270233.35,296331.78,313840.73,313047.93,315025.05
ARUN,17.53,Mid ROI,438763.8,512731.13,557686.18,514995.42,515677.03
ASHFIELD,14.55,Mid ROI,224046.55,278844.26,256498.75,308228.15,256652.53
ASHFORD,-13.82,Low ROI,571957.51,865690.93,498071.24,539822.53,492896.3
BABERGH,32.72,Top ROI,431041.78,454340.27,452717.07,450598.36,572089.59
BARKING AND DAGENHAM,-47.29,Low ROI,1220578.31,1005493.01,1369622.23,884439.12,643427.45
BARNET,8.98,Mid ROI,1121139.91,1197430.15,1263654.55,1239039.91,1221771.95
BARNSLEY,16.8,Mid ROI,202624.45,240291.18,228021.58,244934.35,236669.11
BARROW-IN-FURNESS,0.12,Low ROI,226501.51,239514.22,238454.35,226767.51,
BASILDON,6.94,Mid ROI,611116.48,506545.14,652026.41,543983.44,653551.44
BASINGSTOKE AND DEANE,16.19,Mid ROI,539484.0,548784.66,646597.02,594844.56,626837.55
BASSETLAW,43.85,Top ROI,233363.37,356562.86,343079.49,258105.14,335683.22
BATH AND NORTH EAST SOMERSET,22.6,Mid ROI,541738.26,565331.25,673682.52,712763.19,664146.12
BEDFORD,-8.02,Low ROI,500342.62,546840.46,559881.95,512025.37,460197.26
BEXLEY,-6.47,Low ROI,567691.37,695639.05,682127.02,573526.75,530946.74
BIRMINGHAM,-0.3,Low ROI,404486.56,430311.54,503706.31,465574.29,403276.84
BLABY,-2.64,Low ROI,339982.79,358041.68,337136.5,372593.52,330995.34
BLACKBURN WITH DARWEN,-23.37,Low ROI,322756.03,301470.69,320748.57,322564.09,247318.92
BLACKPOOL,7.67,Mid ROI,174299.74,194125.97,195998.01,207971.53,187664.75
BLAENAU GWENT,29.27,Top ROI,178624.92,195507.24,200439.34,202476.26,230899.64
BOLSOVER,36.72,Top ROI,211604.68,238713.38,227508.81,279800.37,289310.94
BOLTON,5.3,Mid ROI,274205.22,268234.06,323924.17,340468.0,288741.66
BOSTON,14.19,Mid ROI,205487.93,244716.83,274338.11,248190.91,234643.06
"BOURNEMOUTH, CHRISTCHURCH AND POOLE",3.62,Low ROI,518851.95,524100.12,602851.21,574202.42,537639.84
BRACKNELL FOREST,-7.58,Low ROI,727142.08,720710.25,761253.4,827446.15,671990.82
BRADFORD,10.72,Mid ROI,258098.74,278323.43,290989.48,287975.96,285775.92
BRAINTREE,-3.64,Low ROI,497054.23,452983.64,497110.44,485982.09,478956.87
BRECKLAND,15.87,Mid ROI,314531.01,340593.31,360495.29,381153.33,364434.31
BRENT,-40.81,Low ROI,1719557.82,1509451.35,2068456.55,1214171.72,1017891.97
BRENTWOOD,-7.59,Low ROI,840692.92,767188.15,775834.07,812011.12,776905.83
BRIDGEND,29.01,Top ROI,217125.0,250223.68,266322.95,299834.5,280115.66
BRIGHTON AND HOVE,-10.7,Low ROI,766489.39,691639.12,824713.76,1402299.81,684466.22
BROADLAND,10.97,Mid ROI,323777.86,346944.29,397325.08,369144.87,359293.59
BROMLEY,8.35,Mid ROI,701126.95,776602.86,825643.82,831021.25,759659.02
BROMSGROVE,23.09,Top ROI,386004.63,445637.4,463604.65,471227.49,475144.54
BROXBOURNE,1.32,Low ROI,743834.64,920943.7,715850.07,659168.15,753626.08
BROXTOWE,-24.91,Low ROI,420075.0,309725.14,323663.44,305364.56,315450.91
BUCKINGHAMSHIRE,7.99,Mid ROI,669708.06,698751.19,803537.1,739966.97,723190.52
BURNLEY,-23.79,Low ROI,293982.15,206942.97,232928.21,215243.9,224037.54
BURY,19.46,Mid ROI,292336.88,295177.01,311110.28,326737.8,349237.06
CAERPHILLY,40.14,Top ROI,204117.02,232393.53,267546.21,240151.26,286043.17
CALDERDALE,10.18,Mid ROI,278323.85,302827.0,308052.2,294828.38,306657.87
CAMBRIDGE,-22.65,Low ROI,1190181.26,1079180.95,1289871.77,1220341.58,920613.19
CAMDEN,-38.06,Low ROI,5813878.43,5457696.83,5436073.24,4323106.04,3601354.98
CANNOCK CHASE,3.53,Low ROI,247061.25,253220.41,280293.8,276047.66,255778.53
CANTERBURY,2.69,Low ROI,464967.27,478547.03,467207.77,484527.89,477452.64
CARDIFF,41.52,Top ROI,461862.5,443272.82,481110.82,478514.32,653619.95
CARLISLE,-1.2,Low ROI,227027.07,231756.71,246924.93,224300.08,
CARMARTHENSHIRE,32.66,Top ROI,202709.25,247022.24,312888.65,254913.17,268904.21
CASTLE POINT,11.06,Mid ROI,359682.66,402642.58,428838.34,428409.05,399460.08
CENTRAL BEDFORDSHIRE,4.24,Low ROI,470754.28,512298.77,726001.83,499318.2,490737.39
CEREDIGION,23.9,Top ROI,242469.74,280626.36,329957.11,340913.68,300419.66
